Provider Id,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments
270003,31.698275862068964,21498.224529912488,8524.618143706899,6741.719826987503
270004,34.1448087431694,35832.851387645154,14447.312900106557,12854.569174048393
270012,29.521428571428572,36114.30241455497,12406.893231507149,11012.972440712047
270014,31.81597222222222,36241.657253942416,12759.625557006948,11045.596770068063
270017,27.67032967032967,42248.8565165,12851.131019934068,11354.770575816667
270023,29.066666666666666,32128.369670204083,11573.402669386667,9645.465191734693
270032,18.57894736842105,21962.158484999996,9692.546487578946,8153.865966499999
270049,36.67537313432836,51706.804265248626,14362.718022055975,12548.348793784528
270051,27.597883597883598,38685.16835428572,11976.304878597883,10652.289934412698
270057,28.87719298245614,20768.649115729735,9485.944804666664,8109.952082918919
270074,11.5,11387.1715575,8879.106258749998,7942.38484275
270086,35.611111111111114,25960.45814225,9361.079321944442,8060.410342333333
270087,49.833333333333336,29408.833927499996,13732.600236666667,11832.19107
280003,42.20672268907563,43967.48196750635,12037.340935529415,10439.545496452927
280009,30.798780487804876,47130.83373675676,14966.073595969512,12532.387600333326
280013,34.40279937791602,72278.08456734267,19984.297428328176,16623.579532501168
280020,35.13574660633484,36443.22360601352,10525.806522194562,8883.271292851356
280023,32.532544378698226,36847.15168426086,9776.783160822486,8222.387072382613
280030,21.586206896551722,62796.44924528303,16196.47120689655,12427.948113207549
280032,30.625,30818.059751176468,7808.639950182692,6924.529673
280040,33.51470588235294,41285.46869309699,11593.782116946075,9289.598673126859
280060,36.47239263803681,60032.060047850464,14587.750644395714,12565.88824161681
280061,29.54901960784314,38476.8156269307,12744.524956209143,10869.768321178219
280065,30.35754189944134,35051.4687783471,9738.941172916202,8443.893342231406
280077,27.216867469879517,31805.89849196429,9458.738432361444,7862.039288428573
280081,34.00662251655629,44967.13823981308,10914.26959028476,9650.3009175514
280105,23.020833333333332,26873.659158387098,6599.194295354167,5177.160410903225
280111,25.523809523809526,19754.898945499997,10699.768100126981,9524.293284649997
280125,30.384,41552.403904624996,15529.819563712002,14321.800432762495
280127,222.0,32212.895772500004,13665.079968555558,11081.924568
280128,33.84158415841584,40067.962843318186,19191.3915051188,16928.677921424245
280129,193.83333333333334,41814.885758749995,16015.255971666666,13973.391815
280130,33.41379310344828,41406.092033217385,8715.56140896552,6841.973941634785
280131,59.294117647058826,52556.90240499999,13386.247604176473,11007.578416499999
280132,25.03252032520325,27283.121328375,6625.555217487806,5390.537962199998
280133,62.46666666666667,115942.60283666669,28810.633566,23870.13810111111
280134,24.726027397260275,48524.20347612245,10669.260303232879,9458.097028632654
290001,40.561922365988906,68243.05935865753,15823.753505099809,13937.0182733315
290003,36.879492600422836,137312.53806207003,16756.56619871036,14032.72601711783
290005,39.38461538461539,56726.896696067415,12946.331698707696,12367.515728269656
290006,23.764705882352942,25608.446470588235,9208.193529411763,8200.830588235296
290007,24.211267605633804,106147.47365441384,24689.577063535216,19294.165274848277
290008,24.782608695652176,35938.077625625,10075.416808282607,8298.89016709375
290009,36.04054054054054,54025.01893384236,12089.159733861481,11365.07987215271
290012,26.732758620689655,83499.74446462498,11063.6084677069,9918.444381987503
290019,39.3159509202454,46424.43281172095,14056.18475916871,12724.40488196279
290021,30.340425531914892,109353.23023906827,15858.543603106385,13051.660833857139
290022,30.24110671936759,101926.37550647401,12254.214408426875,10187.764689641619
290032,32.96511627906977,68487.05105736843,9088.99372830233,8131.094972701751
290039,40.098290598290596,123115.57822450677,14364.539081066237,11978.653539289464
290041,31.676156583629894,117167.02736600002,11954.83753844128,10095.500599805264
290045,36.825806451612905,113976.55279509902,15918.928767864505,13902.367484267328
290046,27.706422018348626,134888.12899900659,15389.255610128446,13604.846774940399
